Weather Conditions,Province,Road Type,Vehicles type,Time Period,Suspected Cause,Accident Characteristics,Hour,Severity
0,50,1,10,0,16,7,15,1
0,59,1,8,0,16,7,15,3
0,9,1,8,0,42,7,15,0
0,15,1,8,0,16,7,15,2
0,38,5,9,0,15,145,15,1
0,46,1,10,0,16,35,15,1
0,58,1,15,0,15,8,15,3
0,77,5,3,0,84,140,15,1
0,15,7,3,0,14,22,15,1
0,73,7,3,0,15,144,15,1
0,72,5,10,0,77,46,15,0
0,1,1,8,0,16,7,16,0
0,77,1,3,0,16,7,16,2
0,53,1,15,0,12,90,16,2
0,33,1,3,0,83,31,16,1
0,49,1,10,0,84,35,16,1
0,46,5,10,0,16,36,16,1
0,2,1,10,0,16,7,16,0
0,54,1,3,0,21,11,16,2
0,23,1,3,0,16,35,16,1
0,35,5,3,0,69,36,16,3
0,16,7,3,0,21,38,16,2
0,25,1,8,0,16,35,16,3
0,55,4,3,0,16,35,16,1
0,15,5,3,0,16,36,16,2
0,59,1,3,0,16,7,16,1
0,19,5,2,0,16,7,16,3
0,1,1,10,0,16,7,16,0
0,68,1,8,0,23,35,16,0
0,72,1,3,0,84,35,16,1
0,20,1,3,0,72,46,17,2
0,74,1,3,0,12,136,17,1
0,12,1,3,0,14,22,17,3
0,8,1,5,0,16,7,17,3
0,61,1,3,0,84,22,17,1
0,45,4,3,0,100,7,17,2
0,7,1,8,0,16,22,17,3
0,15,1,8,0,16,7,17,1
0,35,1,10,0,16,35,17,0
0,75,5,8,0,16,29,17,1
0,15,5,10,0,16,36,17,0
0,21,1,10,0,16,7,17,1
0,70,5,10,0,15,8,17,1
0,17,1,10,0,16,35,17,0
0,49,1,10,0,16,35,17,0
0,76,4,3,0,16,7,18,1
0,55,1,3,0,16,7,18,3
0,19,1,3,0,16,7,18,1
0,10,1,3,0,19,144,18,1
0,13,1,3,0,44,22,18,1
0,76,1,3,0,16,7,18,1
0,30,1,3,0,14,22,18,1
0,7,5,3,0,12,8,18,3
1,48,1,3,0,84,8,18,3
0,55,1,8,0,16,35,18,1
0,3,1,8,0,16,29,18,0
0,16,5,3,0,42,29,18,2
0,33,5,3,4,77,36,19,1
0,40,5,8,4,16,36,19,1
0,20,5,3,4,13,11,19,3
0,1,7,8,4,16,7,19,1
0,33,7,10,4,69,144,19,1
0,38,5,3,4,84,140,19,1
0,33,1,8,4,14,22,19,2
0,72,5,3,4,16,29,19,2
0,71,5,3,4,84,145,19,1
0,15,1,8,4,16,7,19,0
0,23,1,3,4,16,7,19,2
0,19,1,10,4,82,35,20,0
0,58,1,3,4,15,144,20,3
0,55,7,3,4,42,46,20,1
0,64,5,10,4,16,29,20,1
0,5,1,8,4,16,29,20,1
0,75,1,3,4,15,11,20,1
0,76,1,10,4,15,12,20,1
0,41,1,3,4,69,139,20,2
0,76,1,3,4,16,7,20,1
0,20,4,3,4,42,7,20,2
5,59,1,10,4,26,35,20,0
0,9,1,8,4,16,35,20,0
0,70,1,3,4,16,7,20,3
0,8,1,3,4,16,7,20,1
4,30,1,3,4,21,21,20,1
0,8,1,10,4,16,35,20,3
0,64,1,3,4,15,144,20,1
0,2,1,3,4,16,35,20,1
0,16,1,5,4,16,3,20,3
0,3,5,3,4,21,59,21,1
0,15,1,8,4,16,35,21,0
0,9,1,10,4,16,35,21,1
0,57,1,10,4,49,35,21,0
0,42,1,10,4,84,29,21,1
0,66,1,3,4,16,7,21,2
0,45,1,6,4,49,35,21,0
0,72,5,3,4,84,36,21,2
0,6,5,8,4,15,146,21,2
2,56,1,3,4,84,7,21,3
0,65,4,4,4,16,28,21,1
0,44,4,8,4,16,28,21,1
0,33,1,10,4,16,35,21,2
0,76,5,3,4,62,145,22,1
0,66,1,10,4,16,35,22,1
0,37,1,10,4,16,35,22,1
0,67,5,3,4,15,147,23,1
0,14,5,8,4,16,36,23,0
0,20,1,8,4,16,35,23,1
0,54,1,10,4,16,22,23,0
0,13,4,8,4,42,28,23,0
0,66,1,8,4,16,29,23,1
0,6,1,8,4,16,35,23,1
0,2,1,10,4,16,7,23,1
0,22,1,8,4,16,35,23,0
0,4,1,12,4,16,7,23,3
0,41,7,3,1,69,0,0,2
0,53,1,3,1,84,0,0,1
0,69,1,3,1,15,0,0,2
0,47,1,3,1,15,0,0,1
0,55,5,2,1,84,0,0,1
0,12,1,3,1,89,0,0,2
4,73,1,3,1,84,0,1,1
0,64,7,3,1,15,0,1,1
0,62,1,3,1,84,0,2,1
4,28,1,3,1,84,0,2,3
1,73,1,3,1,15,0,2,1
0,1,1,3,1,21,0,3,1
0,54,1,3,1,21,0,3,2
0,1,1,3,1,69,0,4,1
2,41,1,3,1,84,0,5,2
0,22,1,3,3,15,0,6,2
0,64,1,10,3,21,0,9,1
0,50,1,3,3,69,0,9,1
0,44,5,3,2,15,0,10,2
0,62,1,3,2,15,0,11,1
0,31,1,3,2,15,0,11,1
0,73,1,3,5,15,0,12,1
0,48,5,3,5,15,0,12,3
0,75,1,3,0,21,0,13,1
0,53,1,3,0,15,0,13,1
0,23,1,3,0,15,0,14,1
0,77,1,3,0,84,0,14,3
0,38,5,9,0,15,0,15,1
0,58,1,15,0,15,0,15,3
0,77,5,3,0,84,0,15,1
0,73,7,3,0,15,0,15,1
0,53,1,15,0,12,0,16,2
0,33,1,3,0,83,0,16,1
0,54,1,3,0,21,0,16,2
0,16,7,3,0,21,0,16,2
0,74,1,3,0,12,0,17,1
0,70,5,10,0,15,0,17,1
0,10,1,3,0,19,0,18,1
0,7,5,3,0,12,0,18,3
1,48,1,3,0,84,0,18,3
0,20,5,3,4,13,0,19,3
0,33,7,10,4,69,0,19,1
0,38,5,3,4,84,0,19,1
0,71,5,3,4,84,0,19,1
0,58,1,3,4,15,0,20,3
0,75,1,3,4,15,0,20,1
0,76,1,10,4,15,0,20,1
0,41,1,3,4,69,0,20,2
4,30,1,3,4,21,0,20,1
0,64,1,3,4,15,0,20,1
0,3,5,3,4,21,0,21,1
0,6,5,8,4,15,0,21,2
0,76,5,3,4,62,0,22,1
0,67,5,3,4,15,0,23,1
0,5,5,10,1,69,36,0,1
0,73,7,4,1,69,144,0,1
0,40,1,10,1,16,35,0,1
0,45,1,3,1,16,3,0,2
0,32,1,10,1,69,35,0,1
0,42,3,3,1,16,22,0,3
0,72,5,3,1,15,147,0,3
0,19,1,8,1,16,7,0,1
0,54,1,3,1,84,35,0,1
0,42,1,3,1,16,35,0,3
0,37,1,8,1,16,35,1,1
0,2,6,3,1,16,7,1,1
0,50,5,8,1,14,22,1,3
0,22,1,3,1,84,139,1,1
0,19,1,3,1,23,35,1,1
0,75,5,3,1,16,36,2,3
0,15,1,10,1,16,35,2,1
0,45,1,5,1,69,35,3,3
0,49,1,10,1,16,35,3,0
0,60,1,8,1,42,7,4,0
0,2,1,10,1,16,35,4,1
0,2,6,15,1,42,7,4,0
0,52,1,10,1,69,29,5,3
0,57,4,15,1,16,35,5,0
5,39,5,10,1,16,36,5,0
0,7,7,4,1,69,7,5,1
0,12,4,10,1,16,35,5,1
0,4,1,8,1,16,35,5,0
0,38,1,3,1,42,7,5,3
0,42,1,8,1,16,35,5,1
0,64,1,3,3,85,151,6,1
1,45,5,2,3,15,140,6,2
0,56,1,8,3,16,35,6,1
0,42,1,3,3,15,13,6,3
0,33,1,8,3,69,35,6,3
0,19,1,8,3,16,35,7,3
0,17,1,10,3,16,35,7,0
0,60,5,10,3,16,35,7,1
0,59,4,5,3,42,28,7,1
0,42,1,8,3,42,29,7,1
0,28,1,8,3,49,35,8,0
0,17,1,3,3,41,23,8,1
0,64,1,8,3,69,35,8,1
0,2,1,4,3,16,7,8,0
0,67,1,8,3,16,35,8,0
0,24,1,8,3,16,29,8,0
0,2,5,3,3,16,36,8,1
0,2,4,8,3,16,152,8,0
0,60,1,3,3,16,35,9,2
0,17,1,0,3,16,35,9,1
0,62,1,12,3,16,35,9,1
5,14,1,8,3,16,7,9,1
0,13,1,10,3,42,7,9,1
0,14,1,8,3,16,35,9,1
0,65,1,8,3,16,35,9,1
0,54,1,10,3,16,152,9,0
0,60,1,3,3,16,7,9,1
0,47,5,3,3,42,7,9,1
0,74,1,8,3,42,35,9,0
0,2,7,0,3,0,5,9,0
0,72,5,3,2,16,29,10,2
0,66,5,3,2,15,11,10,2
0,15,1,3,2,42,7,10,3
0,71,1,4,2,16,29,10,2
0,58,1,10,2,100,7,10,1
0,14,5,10,2,16,7,10,1
0,74,1,11,2,15,19,10,1
0,23,1,8,2,69,22,10,2
0,55,4,3,2,42,7,10,1
0,59,1,8,2,16,7,10,1
0,72,1,10,2,69,35,10,0
0,64,1,8,2,16,7,10,3
0,2,1,10,2,16,7,11,0
0,35,1,10,2,16,29,11,0
0,1,1,8,2,16,7,11,0
0,17,1,3,2,42,7,11,1
0,2,1,5,2,82,35,11,1
0,76,1,10,2,16,7,11,1
0,67,1,8,2,16,35,11,1
0,56,5,8,2,15,4,11,2
0,53,1,10,5,16,7,12,0
0,53,1,8,5,16,7,12,0
0,63,4,3,5,42,7,12,3
0,20,1,3,5,16,7,12,2
0,5,7,3,5,84,42,12,1
0,5,7,3,5,84,44,12,1
0,58,7,12,5,42,46,12,2
0,9,1,10,5,16,7,12,0
0,71,1,8,5,100,7,12,0
0,59,1,10,5,69,35,12,1
0,20,4,10,5,16,7,12,2
0,45,4,3,5,42,7,12,2
0,56,7,10,0,15,37,13,3
0,3,1,12,0,42,7,13,1
0,44,1,8,0,16,35,13,0
0,27,6,10,0,16,29,13,2
0,5,1,10,0,16,35,13,1
0,20,1,10,0,15,8,13,3
0,27,1,3,0,16,7,13,1
0,20,1,8,0,16,7,13,1
0,76,4,10,0,16,36,13,1
0,15,1,8,0,16,7,13,1
0,13,4,10,0,16,28,13,2
0,9,1,10,0,16,7,13,1
0,59,1,10,0,16,7,13,0
0,24,1,8,0,42,7,13,1
0,24,1,3,0,15,33,14,1
0,68,1,8,0,23,35,14,0
0,20,1,8,0,16,7,14,1
0,28,1,3,0,15,33,14,2
0,11,7,3,0,16,46,14,1
0,63,4,3,0,16,36,14,1
0,59,1,8,0,42,7,14,1
0,16,1,10,0,42,7,14,3
0,6,1,3,0,16,35,15,1
0,54,1,15,0,69,35,15,2
0,40,1,8,0,42,7,15,1
0,31,4,3,0,16,7,15,1
0,48,1,10,0,42,7,15,3
0,59,1,8,0,16,7,15,0
0,9,1,10,0,42,7,15,1
0,67,1,8,0,16,7,15,0
0,21,1,3,0,16,7,15,1
0,12,5,3,0,97,145,15,2
0,9,1,10,0,16,35,15,1
0,38,1,3,0,16,22,15,2
0,7,5,3,0,28,11,15,3
0,44,1,3,0,15,139,16,1
0,57,7,3,0,83,37,16,2
0,18,1,4,0,16,3,16,3
0,50,1,3,0,16,22,16,1
0,38,4,3,0,16,35,16,1
0,28,7,5,0,42,29,16,3
0,21,1,3,0,84,35,16,1
0,5,1,10,0,42,7,16,2
0,26,4,8,0,42,7,16,1
0,47,1,8,0,16,35,16,0
0,15,1,4,0,100,7,16,0
0,15,4,3,0,42,29,16,1
0,50,1,10,0,16,35,16,0
0,58,1,3,0,83,136,16,2
0,47,1,8,0,100,7,16,0
0,1,7,3,0,42,46,16,1
0,68,7,10,0,42,46,17,1
0,55,1,3,0,16,35,17,1
0,64,1,3,0,21,73,17,1
0,66,1,10,0,42,7,17,1
0,47,7,3,0,15,11,17,3
0,39,1,3,0,16,35,17,1
0,59,1,8,0,16,35,17,3
0,19,1,8,0,42,29,17,2
0,22,1,10,0,74,8,17,1
1,76,1,3,0,15,144,18,1
0,15,4,8,0,16,7,18,0
0,74,5,10,0,69,35,18,1
0,77,5,10,0,16,36,18,1
0,45,1,3,0,16,22,18,2
0,3,7,3,0,15,106,18,1
0,31,1,3,0,16,35,18,1
0,42,1,3,0,15,11,18,3
0,7,1,12,0,16,7,18,2
0,2,1,10,0,16,7,18,0
0,73,1,10,0,42,7,18,0
0,21,4,8,0,84,7,18,1
0,37,1,3,0,16,7,18,1
0,47,5,10,0,100,7,18,0
0,68,1,3,0,15,144,18,1
0,66,5,3,0,84,8,18,1
0,36,1,3,4,16,35,19,1
0,20,1,3,4,42,7,19,1
1,30,1,3,4,21,21,19,1
0,55,4,8,4,82,29,19,1
0,9,1,10,4,87,29,19,2
6,11,1,8,4,16,7,19,2
1,30,1,3,4,15,96,19,1
0,38,1,6,4,16,7,19,2
0,22,1,3,4,15,151,19,2
0,75,1,8,4,42,29,19,1
6,25,1,8,4,84,7,19,2
0,75,5,8,4,17,36,19,0
0,9,1,8,4,16,7,19,0
0,64,1,8,4,16,7,19,1
0,35,5,8,4,84,36,19,1
0,44,1,3,4,42,7,20,1
0,45,4,8,4,16,28,20,1
0,44,7,3,4,42,46,20,1
0,67,1,8,4,84,35,21,0
0,39,1,8,4,17,35,21,1
0,58,1,10,4,16,7,21,1
0,73,1,3,4,42,7,21,2
0,8,1,8,4,16,7,21,1
0,2,7,0,4,0,5,21,0
0,20,1,3,4,16,7,21,1
0,72,1,3,4,15,110,22,1
0,37,1,10,4,16,35,22,0
0,30,4,7,4,16,7,22,1
0,15,1,15,4,48,3,22,1
0,7,1,8,4,22,3,22,2
0,20,1,3,4,21,21,22,1
0,22,1,3,4,84,144,22,1
0,10,1,3,4,15,144,23,1
0,22,1,3,1,15,0,0,1
0,52,4,6,0,28,0,15,0
0,22,1,3,0,15,0,16,1
0,77,1,10,0,15,3,18,1
0,1,1,3,4,86,3,20,3
0,75,5,3,4,15,0,21,3
0,52,1,0,2,0,35,11,1
0,2,5,0,2,0,7,11,1
0,23,1,3,1,69,144,0,1
0,52,4,8,1,16,7,0,1
0,75,5,10,1,16,36,0,1
0,15,1,3,1,84,35,0,1
0,57,1,8,1,69,35,0,0
0,38,1,3,1,41,23,1,1
0,16,1,10,1,16,7,1,1
0,25,1,8,1,84,35,1,1
0,59,1,6,1,69,35,1,0
0,36,1,3,1,16,7,2,1
0,32,1,8,1,16,35,2,0
0,2,5,8,1,16,36,2,1
0,49,4,8,1,16,29,2,0
0,6,1,6,1,16,7,2,3
0,2,1,8,1,16,7,3,0
0,7,4,3,1,16,22,3,2
0,27,1,10,1,16,7,3,0
0,19,1,8,1,16,35,3,1
0,45,4,10,1,42,28,3,1
0,2,1,10,1,38,7,3,0
0,10,1,10,1,69,7,4,1
0,12,1,5,1,16,35,4,0
0,41,1,8,1,69,7,4,0
0,9,1,8,1,16,35,4,1
0,20,1,3,1,16,7,4,3
0,45,1,10,1,16,29,5,1
0,29,1,4,1,16,7,5,0
0,22,1,3,1,15,139,5,2
0,52,1,10,1,69,35,5,0
0,73,1,0,1,16,22,5,0
0,51,5,3,3,28,145,6,1
0,32,1,3,3,44,22,6,1
0,4,1,8,3,16,35,6,0
0,74,1,8,3,16,35,6,0
0,25,1,8,3,16,35,7,1
0,5,1,9,3,42,7,7,1
0,9,1,7,3,84,7,7,1
0,16,1,8,3,69,35,7,0
0,2,1,8,3,16,7,7,0
0,16,1,3,3,16,3,7,1
0,77,5,3,3,16,36,8,1
0,22,1,8,3,42,29,8,1
0,2,1,3,3,16,7,8,1
0,39,7,3,3,83,37,8,1
0,19,1,15,3,16,35,9,0
0,30,1,12,3,42,7,9,1
0,15,4,3,3,16,22,9,1
0,66,7,2,3,42,46,9,2
0,38,1,8,2,49,35,10,1
0,51,4,15,2,16,35,10,0
0,41,1,8,2,42,7,10,1
0,9,1,10,2,42,7,10,3
0,29,5,10,2,16,7,10,0
0,75,5,3,2,62,144,10,1
0,40,1,3,2,16,29,11,2
0,25,1,8,2,16,7,11,1
0,38,5,4,2,16,7,11,0
0,42,1,10,2,16,7,11,1
0,58,1,10,2,16,35,11,1
0,6,1,10,2,16,7,11,1
0,27,1,3,2,16,7,11,3
0,70,7,3,2,21,37,11,2
0,52,1,6,2,77,22,11,0
0,66,1,3,2,16,35,11,2
0,3,1,12,2,16,7,11,1
0,19,1,8,2,42,7,11,1
0,36,1,3,2,16,7,11,1
0,71,5,8,5,100,7,12,0
0,43,4,3,5,38,7,12,3
0,24,1,3,5,16,7,12,2
0,32,5,7,5,31,152,12,0
0,48,1,10,5,69,35,12,0
0,71,1,5,0,16,35,13,0
0,15,1,8,0,69,35,13,1
0,50,1,8,0,16,22,13,2
0,31,1,8,0,42,7,13,1
0,50,1,8,0,16,35,13,1
0,26,1,10,0,42,22,13,2
0,2,1,10,0,16,7,13,0
0,63,7,10,0,42,29,13,3
0,23,7,3,0,15,37,13,1
0,35,1,10,0,42,7,13,2
5,59,1,8,0,26,35,14,0
0,55,4,8,0,42,7,14,2
0,29,5,3,0,28,4,14,1
0,61,1,10,0,12,8,14,2
0,3,1,8,0,42,7,14,1
0,13,1,8,0,16,35,14,1
0,6,1,10,0,69,35,14,2
0,58,1,10,0,42,29,15,1
0,64,1,3,0,16,35,15,1
0,9,1,8,0,16,35,15,0
0,55,1,10,0,16,35,15,2
0,9,1,10,0,16,35,15,2
0,29,1,10,0,16,35,15,1
0,10,7,3,0,28,6,15,1
0,39,4,8,0,16,7,15,1
0,10,5,3,0,84,140,16,1
0,20,4,3,0,16,35,16,1
0,11,5,6,0,82,36,16,1
0,66,5,2,0,15,11,16,3
0,47,4,3,0,16,35,16,1
0,72,1,3,0,16,35,16,1
0,66,1,3,0,84,141,16,2
0,13,1,10,0,16,7,16,0
0,2,1,10,0,16,7,16,0
0,54,1,8,0,16,7,16,0
0,30,1,3,0,15,109,16,1
0,24,1,3,0,16,7,16,1
0,45,1,8,0,16,7,16,2
0,20,1,3,0,15,90,16,1
0,70,5,3,0,21,143,16,2
0,21,1,10,0,22,3,16,2
0,13,7,3,0,16,46,17,1
0,15,1,3,0,16,7,17,1
0,38,5,10,0,17,36,17,0
0,29,5,3,0,15,145,17,1
0,54,1,8,0,49,35,17,0
0,13,5,3,0,16,36,17,2
0,55,4,8,0,42,7,17,0
0,20,1,10,0,42,7,17,1
0,46,1,8,0,77,46,17,0
0,74,1,3,0,16,7,17,2
0,38,1,8,0,42,7,17,2
0,62,5,3,0,15,11,18,1
0,51,1,10,0,16,7,18,0
0,73,1,0,0,49,35,18,0
0,52,1,3,0,16,7,18,3
0,4,1,8,0,84,35,18,1
0,43,4,0,0,14,22,18,0
0,9,1,8,0,16,35,18,1
0,50,1,10,0,49,35,18,1
0,8,1,3,0,42,7,18,3
0,12,1,3,0,16,7,18,2
0,10,1,3,0,16,35,18,1
0,30,7,2,0,15,109,18,1
0,13,1,10,4,16,7,19,1
0,29,7,3,4,42,46,19,0
0,4,1,6,4,16,7,19,3
0,47,7,6,4,42,46,20,0
2,25,5,3,4,84,147,20,1
0,53,1,8,4,42,7,20,0
0,55,7,3,4,42,46,20,1
1,76,1,3,4,83,40,20,1
0,15,1,3,4,16,7,20,1
0,73,7,3,4,42,7,20,3
0,8,1,3,4,16,35,20,3
0,33,1,3,4,84,35,20,1
0,58,1,8,4,69,35,20,1
6,74,1,8,4,16,7,20,3
0,51,1,3,4,21,23,21,1
0,64,1,3,4,16,7,21,1
0,27,1,10,4,16,7,21,0
0,39,5,8,4,42,7,21,1
0,7,4,6,4,84,35,22,0
0,44,1,8,4,16,35,22,0
0,56,1,8,4,16,35,22,0
0,2,4,10,4,16,35,23,0
0,19,1,6,4,16,35,23,0
0,59,1,10,4,16,35,23,3
0,21,1,12,4,84,7,23,3
0,42,7,8,0,15,0,15,3
0,2,1,0,0,0,7,14,0
2,31,4,8,1,16,35,0,1
0,2,1,8,1,16,7,0,1
2,56,1,1,1,16,3,0,3
0,40,5,3,1,84,145,1,1
0,29,1,8,1,16,35,1,2
0,71,1,8,1,84,35,1,2
0,12,4,10,1,16,3,1,3
5,50,5,8,1,16,36,1,3
0,15,1,14,1,69,35,2,1
0,58,1,7,1,69,35,2,1
0,1,1,5,1,16,35,2,0
0,2,1,10,1,16,7,3,0
0,52,1,7,1,16,35,3,0
0,62,7,3,1,27,37,4,1
0,27,1,10,1,16,35,4,0
0,20,1,8,1,16,35,4,1
0,59,1,8,1,16,35,4,1
0,59,4,10,1,16,35,4,1
0,32,1,3,1,69,35,4,1
0,8,5,3,1,16,7,5,0
0,38,1,6,1,77,35,5,0
0,71,1,10,1,16,7,5,3
5,33,5,6,1,69,36,5,0
0,52,1,10,1,16,7,5,3
0,2,1,7,1,16,7,5,3
0,3,4,6,1,16,7,5,3
0,35,1,8,3,16,35,6,1
0,2,4,3,3,16,7,6,1
5,50,4,8,3,69,7,6,1
0,2,1,10,3,16,7,7,0
0,17,1,8,3,16,35,7,0
0,51,1,3,3,21,144,7,1
0,51,1,3,3,15,21,7,1
0,19,1,10,3,16,35,7,1
0,76,1,10,3,16,35,7,2
0,27,1,10,3,16,7,7,0
0,10,1,3,3,16,7,7,1
0,74,1,10,3,42,7,7,1
0,1,1,8,3,16,7,7,0
0,5,5,8,3,40,36,7,1
0,13,1,3,3,16,7,7,1
0,72,5,3,3,16,36,8,2
0,16,5,10,3,16,7,8,1
0,9,1,10,3,69,35,8,1
0,11,4,8,3,38,28,8,0
0,12,1,3,3,42,7,8,1
0,74,1,10,3,16,35,8,1
0,72,1,1,3,42,3,8,2
0,54,1,10,3,42,5,8,0
0,58,4,3,3,42,29,9,1
0,19,4,8,3,49,35,9,1
0,2,7,0,3,0,5,9,0
0,38,1,3,3,16,7,9,2
0,15,1,3,3,16,35,9,1
0,19,1,10,3,16,35,9,1
0,5,1,7,3,16,7,9,1
0,20,1,3,3,16,35,9,1
5,59,1,7,2,16,35,10,1
0,5,5,10,2,16,35,10,0
0,8,1,8,2,16,7,10,0
0,76,1,3,2,16,35,10,2
0,59,1,10,2,16,35,10,3
0,36,1,3,2,42,7,10,1
0,24,1,8,2,16,22,10,1
0,57,1,8,2,102,46,11,2
0,77,5,9,2,15,72,11,1
0,60,5,3,2,15,152,11,3
0,58,4,8,2,42,28,11,2
0,28,1,8,2,14,22,11,3
0,19,1,4,2,16,35,11,0
0,10,1,3,5,16,7,12,1
0,77,5,10,5,97,52,12,1
0,23,7,3,5,21,12,12,1
0,44,1,8,5,16,7,12,3
0,20,1,8,5,42,7,12,3
0,77,5,4,5,15,72,12,1
0,2,1,10,5,42,7,12,1
0,31,1,8,0,42,29,13,1
0,60,4,3,0,42,7,13,1
0,52,1,15,0,16,35,13,0
0,71,1,7,0,16,29,13,3
0,16,1,8,0,69,35,14,0
